"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JRN69NZS","conferencePaper","2025","Vishnoi, Meenakshi; Vashisht, Vasudha; Dubey, Ashwani Kumar; Dubey, Anil Kumar","A Hybrid Deep Learning-Machine Learning Pipeline for Precision Monitoring of Citrus Diseases","2025 12th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","979-8-3315-5421-7","","10.1109/ICRITO66076.2025.11241636","https://ieeexplore.ieee.org/document/11241636/","","2025-09","2026-01-24 00:34:03","2026-01-24 00:34:03","","1-6","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/KV2X28F5/Vishnoi et al. - 2025 - A Hybrid Deep Learning-Machine Learning Pipeline for Precision Monitoring of Citrus Diseases.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CCE6993","journalArticle","2024","Li, Zhiguang; Li, Baitao; Jahng, Surng Gahb; Jung, Changyong","Improved VGG Algorithm for Visual Prosthesis Image Recognition","IEEE Access","","2169-3536","10.1109/ACCESS.2024.3380839","https://ieeexplore.ieee.org/document/10478014/","","2024","2026-01-24 00:34:03","2026-01-24 00:34:03","","45727-45739","","","12","","","","","","","","","","","","","","","","","","","/home/aalejoz25/Zotero/storage/MR7XMY2C/Li et al. - 2024 - Improved VGG Algorithm for Visual Prosthesis Image Recognition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8XALIFQ","conferencePaper","2025","Sharmila, A.; Tamilselvan, K. S.; Monisha, R.; Priya, E. L. Dhivya; Gomathi, N.; Vinothini, V. R.","A Novel Attention Mechanism for Disease Detection in Potatoes","Proceedings of the 6th International Conference on Inventive Research in Computing Applications, ICIRCA 2025","979-8-3315-2142-4","","10.1109/ICIRCA65293.2025.11089838","http://dx.doi.org/10.1109/ICIRCA65293.2025.11089838","The potato plant is amongst the most significant vegetable crops farmed worldwide. It is rich in vitamin B12, considered to be the best ever compensation of vitamin B12 for vegetarians as it is abundantly present in non-veg foods. Potato is the most preferred vegetable to consume from kids to adults. The potato crop is prone to numerous infections like bacterial, fungal, and viral infections in its growing stages. The production is immensely affected by the diseases that occur in its sprout development stage. Diseases that occur in crops hinder the economy of agriculture as they lead to huge demands. The predominant devastating diseases influencing the growth and production of potatoes are late and early blight diseases. Detecting the diseases, especially the diseases that occurred in its initial stages, assists in preventing the loss in production and to improve the yield. A decrease in production results in increasing cost and demand. The proposed work incorporating the modified AttDenseNet architecture with the layers of Convolutional neural network layers proceeded by self-attention and co-attention mechanisms assist in predicting the disease in its earlier stages, proffers accuracy of 98.7 percent in detecting the diseases in potatoes in a maximum number of epochs.","2025-06","2026-01-24 00:34:03","2026-01-24 00:34:03","","1019-1025","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/37L65HYL/Sharmila et al. - 2025 - A Novel Attention Mechanism for Disease Detection in Potatoes.pdf","","accuracy; CNN; co-attention; Disease detection; late and early blight; potatoes; Self-attention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXA8YJQM","conferencePaper","2022","Verma, Vikas; Ramakant; Mathur, Hemant; Agarwal, Neha","IOT Assisted Smart Farming using Data Science Techniques","Proceedings - 2022 IEEE World Conference on Applied Intelligence and Computing, AIC 2022","978-1-5090-5001-7","","10.1109/AIC55036.2022.9848867","http://dx.doi.org/10.1109/AIC55036.2022.9848867","The rising global population demands a high yield of crop production. At present, farmers grow crops for all the people, but in case of contracting horticultural grounds and exhaustion of limited regular assets due to many reasons, and a massive increase in population, the need to improve ranch yield has turned out to be essential. Nowadays, there are various startups, technology innovators, and steps taken by the government that work to enhance total crop production. All those innovations taken for the farming framework are called smart Farming (SF). Smart Farming includes consolidating data and correspondence advances into apparatus, hardware, and sensors in the rural creation framework. The advancement of technologies must be reduced to convey meaningful information. The economy of nations like India is highly dependent on agricultural production. So disease detection in plants using an efficient algorithm is supposed to be a vital job in the farming field. This research paper is presented in three-fold:(1) Efficient way to detect disease and find cavity area; It presents Image Segmentation Algorithm (2) Using data analysis in different ways which will work for crops in a better way. The paper also presents two analysis methodologies, one is based on using an optical transducer for detecting the presence of Nitrogen (N), Phosphorous (P), and Potash (K) in soil, and the other analysis is based on the moisture content of the soil using sensors. (3)using machine learning algorithms to predict the number of fertilizers based on the collected features of soil samples, which will help farmers in amount prediction.","2022-06","2026-01-24 00:34:03","2026-01-24 00:34:03","","503-507","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/3Z2Q4HSM/Verma et al. - 2022 - IOT Assisted Smart Farming using Data Science Techniques.pdf","","Internet of Things (IoT); Segmen-tation; Software Big data; Soil Moisture Sensor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TM592U9F","conferencePaper","2023","Kaur, Jatinder; Sharma, Ashwani K.; Kaushal, Manudeep; Badhoutiya, Arti; Reddy, Nirmala; Alkhayyat, Ahmed","An Overall Disease Analysis of Mango Using Neural Network with Hybrid Feature model","Proceedings - 2023 IEEE World Conference on Applied Intelligence and Computing, AIC 2023","979-8-3503-1006-1","","10.1109/AIC57670.2023.10263945","http://dx.doi.org/10.1109/AIC57670.2023.10263945","Mango is a highly valued fruit crop, with arable land covering about 36% of the total fruit area. With roughly 23% of the total area under mango, Uttar Pradesh and Andhra Pradesh lead the way, followed by Tamil Nadu, Karnataka, Gujarat, and Bihar. Global food security is affected a lot due to crop plant diseases. These diseases directly affect the quality of food, fruits, etc., resulting in a fall in agricultural productivity. Farmers must assess the leaf, fruit, or tree through visual interpretation to determine whether any fruit crop part is contaminated or blooming properly. But this traditional technique has its limitations; it is inconsistent, unreliable, and prone to mistakes. Researchers have proposed a variety of techniques for resolving the above-stated issues. Most of them preferred the modelling of convolutional neural network models according to problem areas by giving low-resolution images as input, resulting in low disease detection accuracy. In this work, we use an artificial neural network (ANN) technique with the objective of early detection of disease in any part of the fruit crop with tiny disease blobs that can only be seen with better resolution images. All the contaminated blobs are segmented for the entire dataset after a pre-processing phase using a contrast enhancement approach.","2023-07","2026-01-24 00:34:03","2026-01-24 00:34:03","","119-124","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/Z4CNGUN6/Kaur et al. - 2023 - An Overall Disease Analysis of Mango Using Neural Network with Hybrid Feature model.pdf","","convolutional neural network; enhancement; feature selection; image classification; resolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QALLD9N","conferencePaper","2018","Hidayatuloh, Akbar; Nursalman, M.; Nugraha, Eki","Identification of Tomato Plant Diseases by Leaf Image Using Squeezenet Model","2018 International Conference on Information Technology Systems and Innovation, ICITSI 2018 - Proceedings","978-1-5386-5693-8","","10.1109/ICITSI.2018.8696087","http://dx.doi.org/10.1109/ICITSI.2018.8696087","One of the problems in the field of agriculture is regarding plant diseases. Plant diseases can cause a decrease in agricultural production. Therefore, early detection and diagnosis of plant diseases is very important. Plant diseases often appear on the leaves, and the characteristics of the affected leaves can be varied and difficult to distinguish. This makes it difficult to identify the disease automatically. Increased smartphone usage and advances in the field of computer vision through deep learning have made it possible to connect smartphones as a tool in diagnosing diseases. Plants used as case studies in this study were tomato plants. The method used is Convolutional Neural Network (CNN). This CNN method has many types based on the architecture it builds, one of which is squeezenet architecture. Squeezenet architecture can produce a model with a relatively small size, so that the model can be implemented on smartphone devices, server computing, and microcontroller devices. This research will focus on building a model based on squeezenet architecture to classify seven types of tomato plant diseases on the leaves including healthy leaves. The model is built using the help of Keras deep learning frameworks. The data used in this study is the image of tomato plant leaves obtained from the Vegetable Crops Research Institute (Balitsa) in Lembang, West Java. With 200 classes for each class. This study has successfully detected tomato plant disease through its leaf image automatically with an average accuracy of identification of 86.92%.","2018-10","2026-01-24 00:34:03","2026-01-24 00:34:03","","199-204","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/A9YVEC55/Hidayatuloh et al. - 2018 - Identification of Tomato Plant Diseases by Leaf Image Using Squeezenet Model.pdf","","Balitsa; Computer vision; Convolutional neural network; Deep learning; Keras; Squeezenet architecture; Tomato plant diseases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7FFXTYZ","journalArticle","2026","Sajitha, P.; Andrushia, A. Diana; Anand, N.; Lubloy, Eva","Channel-attentive YOLOv5 and capsule auto-encoder for pomegranate disease detection","Egyptian Informatics Journal","","20904754","10.1016/j.eij.2025.100877","http://dx.doi.org/10.1016/j.eij.2025.100877","Fruits are the most vital items of global diets because of their rich nutritional value, thereby providing very high demand and agricultural revenues to the economy. Among the fruit crops, pomegranate is a valuable one due to its highest antioxidant potential. However, most crops of pomegranate suffer from diseases, which greatly reduce agricultural yield and productivity. Thus, along with the increasing demand of the fruit, early detection as well as classification of diseases will prove very crucial in boosting the yield and taking appropriate measures for prevention. We propose a segmentation-based model using deep learning in this paper to conduct disease identification in pomegranates The process begins with pre-processing images that is primarily an activity of cropping and resizing of the images, followed by enhanced Wiener filtering, which eliminates noise and enhances the clarity of the images The preprocessed images are then further segmented using a CA_YV5GC algorithm, (Channel Attentive YOLOv5-based Grab Cut), which isolates diseased regions from the images. Then the optimized ResNet-152 network is applied to acquire the fundamental features embedding the texture along with the shape characteristics which could identify ailments related symptoms. Coati Optimization is applied to choose the most dominant features in the lower dimensional representation of the extracted information for the classification of the disease. Ultimately, classification is performed using a Deep Capsule Canonical Auto-encoder (DC_CAENet) to classify the disease type with higher accuracy. Adaptive Osprey Optimization is used to optimize the parameters of the model. The existing methods are compared with that results proved this technique to be more accurate and efficient as compared to traditional techniques.","2026-03","2026-01-24 00:34:03","2026-01-24 00:34:03","","100877","","","33","","","","","","","","Elsevier BV","","","","","","","","","","","/home/aalejoz25/Zotero/storage/F7V8HDRZ/Sajitha et al. - 2026 - Channel-attentive YOLOv5 and capsule auto-encoder for pomegranate disease detection.pdf","","Auto-encoder; Canonical; Channel attentive YOLOv5; Fruit disease segmentation; Grab cut; Residual-152; Wiener filtering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUY2UIBJ","journalArticle","2025","Rajamanickam, Vijayanandh; Ramsubhag, Adesh; Jayaraman, Jayaraj","Sweet pepper foliar diseases quantification and identification using an image analysis tool","Journal of Plant Protection Research","","1899007X","10.24425/jppr.2025.153821","http://dx.doi.org/10.24425/jppr.2025.153821","Quantification and assessment of disease symptoms are important elements of plant disease management systems and are required to assist with making decisions on the choice of protective agents to be applied to crops or for screening plant genotypes for the development of resistant varieties. Traditional methods of identifying and quantifying disease severity are cumbersome, involving visual assessment tools or scales, and rating of plants at a point in time. Visual assessment is prone to human bias and error, thereby reducing the efficiency and accuracy of this method. In this study, we developed a smartphone camera-based image recording, processing, and assessment tool for measurement of symptoms of early and late blight, and bacterial leaf spot diseases in sweet pepper caused by Alternaria solani, Phytophthora infestans, and Xanthomonas campestris pv. vesicatoria, respectively. Sweet pepper or bell pepper is a major vegetable crop grown in the Caribbean region, but production is severely affected by plant diseases, most important of which include foliar infections by fungi and bacteria that cause major losses in fruit yield. This research utilized smartphone captured images of leaf specimens for severity measurement and classification of diseases. The steps involved were color space conversions, detection of leaf area by Otsu's method, and thresholding for foliar diseased area detection and quantification. Gray-Level Co-occurrence Matrix (GLCM) extracted the texture features from the diseased area of leaves. These features are trained and classified by various machine learning classifiers including trees, rule-based and Bayes models. Application of decision trees and rule-based classifier models achieved 98% accuracy individually, while Bayes model achieved 86% accuracy. The image input into the above classifier models resulted in fast and accurate identification of the diseases by matching the features of trained images of disease symptoms. This method could work well for leaves collected from field-grown plants as well as from inoculated greenhouse plants.","2025-03","2026-01-24 00:34:03","2026-01-24 00:34:03","","89-102","","1","65","","","","","","","","Polish Academy of Sciences Chancellery","","","","","","","","","","","/home/aalejoz25/Zotero/storage/RH83AILF/Rajamanickam et al. - 2025 - Sweet pepper foliar diseases quantification and identification using an image analysis tool.pdf","","foliar disease; GLCM; machine learning; Otsu; thresholding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXTJPINA","journalArticle","2024","Giakoumoglou, Nikolaos; Kalogeropoulou, Eleni; Klaridopoulos, Christos; Pechlivani, Eleftheria Maria; Christakakis, Panagiotis; Markellou, Emilia; Frangakis, Nikolaos; Tzovaras, Dimitrios","Early detection of Botrytis cinerea symptoms using deep learning multi-spectral image segmentation","Smart Agricultural Technology","","27723755","10.1016/j.atech.2024.100481","http://dx.doi.org/10.3390/app122412557","Botrytis cinerea is an airborne plant pathogen that causes grey mould disease on horticultural crops, such as tomato, cucumber, pepper, and more. Early detection is crucial for timely and effective strategies for crop loss prevention. In this study, in planta assays were set up enabling a thorough assessment of grey mould progress on cucumber plants both artificially inoculated with two different inoculation methods, and naturally infected throughout the whole growing season of the host under controlled conditions simulating the environment typically prevailing in greenhouses. Multi-spectral imaging was used to capture a novel dataset across various spectral bands containing multiple stages of infection. Deep learning (DL) segmentation architectures, combined with Convolutional Neural Networks (CNNs) and Vision Transformers (ViTs) encoders, were employed to identify B. cinerea at various infection stages. The U-Net++ model with a MobileViT-S encoder performed best, achieving a Dice Coefficient (DC) of 0.677, an Intersection over Union (IoU) of 0.656, and a recall rate of 0.807, with a high overall accuracy of 90.1 %. In regards to early detection, the model achieves an IoU of 0.375 on 2nd day post inoculation (dpi), 0.230 on 1st dpi and 0.437 on the 6th dpi. The infection stages were compared to similar visible symptoms of physiological decline or plant responses to abiotic stress. The outcomes of this study demonstrate an important advance in the Artificial Intelligence (AI) plant health detection, for early crop disease diagnosis.","2024","2026-01-24 00:34:03","2026-01-24 00:34:03","","12557","","24","8","","","","","","","","MDPI AG","","","","","","","","","","","/home/aalejoz25/Zotero/storage/2S8SZXIX/Giakoumoglou et al. - 2024 - Early detection of Botrytis cinerea symptoms using deep learning multi-spectral image segmentation.pdf","","Deep learning; Botrytis cinerea; Early detection; Grey mould; Image segmentation; Multispectral imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EXE96EM","conferencePaper","2025","Wijendra, Dinuka; Jayasinghearachchi, Vishan; Dilshan, O. A. P.; Herath, H. M. K. C. B.; Yapa, Y. M. T. N. S.; Rathnasiri, K. D. M. M.","OrchiZen: Hybrid Integrated Smart Farming System for Orchid Plantations","2025 IEEE International Conference on Automatic Control and Intelligent Systems, I2CACIS 2025 - Proceedings","979-8-3315-4294-8","","10.1109/I2CACIS65476.2025.11101702","http://dx.doi.org/10.1109/I2CACIS65476.2025.11101702","OrchiZen is a hybrid integrated smart farming system designed for orchid cultivation, leveraging Machine Learning (ML) and Internet of Things (IoT) technologies to address key horticultural challenges, including irrigation, disease treatment, choice of species, lighting, and nutrients. The OrchiZen has smart irrigation advisory, species recommendation, Ultraviolet (UV) based disease treatment, light optimization, and fertilizer advisory. The priorities are given to specific species such as Dendrobium, Vanda, and Phalaenopsis. The realities of telemonitoring, data processing, and forecasting increase organizational productivity and contribute to better environmental management. The outcomes illustrate that existing modern technologies can enhance the output and ecology of the orchid production to a significant extent, redefining the conventional technologies.","2025-06","2026-01-24 00:34:03","2026-01-24 00:34:03","","164-169","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/DFPNDWQ6/Wijendra et al. - 2025 - OrchiZen Hybrid Integrated Smart Farming System for Orchid Plantations.pdf","","fertilizer advisory; mist irrigation; orchid; sustainable agriculture; UV-C treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TIC8CZT","conferencePaper","2023","Wakhare, Prashant; Neduncheliyan, S.; Mane, Pradeep B.","Machine Learning for Accurate and Efficient Pomegranate Fruit Disease Detection: A Novel Approach to Improve Crop Yield and Quality","2023 7th International Conference On Computing, Communication, Control And Automation, ICCUBEA 2023","979-8-3503-0426-8","","10.1109/ICCUBEA58933.2023.10391966","http://dx.doi.org/10.1109/ICCUBEA58933.2023.10391966","This paper presents a web-based tool for identifying diseases in fruit crops to address the negative impact of climate change on agriculture. With the increase in population, there is a growing demand for more food production, which puts pressure on farmers to increase crop yields. However, climate change is causing uneven weather conditions, leading to decreased crop yields. This paper proposes a solution that allows farmers to upload an image of a fruit to a system that has a trained dataset of fruit images. The system uses several image processing steps, including feature extraction based on parameters such as color, morphology, and CCV, followed by clustering using CNN Algorithm and classification using SVM to determine if the fruit is infected or not. An intent search technique is used to find the user intention from the features extracted. The experimental evaluation of the approach shows that it is effective, with a 98.38% accuracy rate in identifying diseases in fruit crops. The proposed tool can be used to identify the diseases that affect fruit crops and provide farmers with timely and accurate information, enabling them to take preventive measures to protect their crops, improve crop yields, and contribute to the overall agricultural economy. The recommendations for the application of the developed machine learning model for pomegranate fruit disease detection include using high-quality data, regularly updating the model, integrating with other detection methods, providing an easy-to-use interface, and providing technical support to growers.","2023","2026-01-24 00:34:03","2026-01-24 00:34:03","","1-5","","","","","","","","","","","IEEE","","","","","","","","","","","/home/aalejoz25/Zotero/storage/59EE97DG/Wakhare et al. - 2023 - Machine Learning for Accurate and Efficient Pomegranate Fruit Disease Detection A Novel Approach to.pdf","","Agricultural Productivity; Crop Yield; Deep Learning; fruit Disease Detection; Machine Learning Algorithms; Pomegranate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
